,intcpt,slp,rsq,resid.mean,resid.med,resid.prop.pos,source
(Intercept)761,8.790118938,0.393451005,0.027526304,5.648076913,4.221058134,0.728594507,Navajo Nation: Water
(Intercept)762,7.490931552,0.6464394,0.065673521,5.579757896,4.050899011,0.726978998,Navajo Nation: Water
(Intercept)763,7.506607126,0.70492161,0.053720376,5.993092857,3.667410806,0.749596123,Navajo Nation: Water
(Intercept)764,7.964701269,0.516824681,0.035091796,5.355700085,3.989100668,0.714054927,Navajo Nation: Water
(Intercept)765,7.690988669,0.486791844,0.049903897,4.93459011,3.775401716,0.723747981,Navajo Nation: Water
(Intercept)766,8.440593221,0.567567353,0.026374337,6.22978307,3.846277243,0.733441034,Navajo Nation: Water
(Intercept)767,7.191318652,0.590346508,0.088455285,5.035029654,4.171610323,0.728594507,Navajo Nation: Water
(Intercept)768,8.308259472,0.444515693,0.026998631,5.335700127,3.714770199,0.731825525,Navajo Nation: Water
(Intercept)769,8.082861141,0.481842921,0.02752068,5.469543947,4.145370004,0.722132472,Navajo Nation: Water
(Intercept)770,9.225352908,0.26727808,0.010677599,5.367972026,3.802892975,0.733441034,Navajo Nation: Water
(Intercept)771,8.731240068,0.407968144,0.022675215,5.47867075,3.979818807,0.723747981,Navajo Nation: Water
(Intercept)772,7.31980784,0.630043017,0.058803906,5.351473389,3.691759515,0.714054927,Navajo Nation: Water
(Intercept)773,8.092880461,0.416009351,0.027657767,4.906776255,3.79978493,0.718901454,Navajo Nation: Water
(Intercept)774,8.099686425,0.453541061,0.053532707,5.104934636,4.168408224,0.728594507,Navajo Nation: Water
(Intercept)775,7.848530533,0.576128341,0.050933026,5.647570979,4.238128944,0.751211632,Navajo Nation: Water
(Intercept)776,7.782250168,0.564061468,0.043332009,5.401209111,4.117024524,0.725363489,Navajo Nation: Water
(Intercept)777,9.16950291,0.202060029,0.011641663,4.7812605,3.654523419,0.69628433,Navajo Nation: Water
(Intercept)778,7.877471213,0.620939585,0.053268308,5.87976311,4.115665329,0.726978998,Navajo Nation: Water
(Intercept)779,8.233005151,0.295268206,0.031423628,4.532884127,3.584530287,0.743134087,Navajo Nation: Water
(Intercept)780,6.771263732,0.75449778,0.061347546,5.41793034,3.249809804,0.722132472,Navajo Nation: Water
