,intcpt,slp,rsq,resid.mean,resid.med,resid.prop.pos,source
(Intercept)1861,5.365937804,0.788124001,0.179868197,3.935595641,2.73861849,0.659127625,Navajo Nation: Water & home dust
(Intercept)1871,2.973557753,1.115578535,0.276656974,3.753810603,2.84149525,0.678513732,Navajo Nation: Water & home dust
(Intercept)1881,6.153535211,0.700270794,0.172763332,4.130109611,2.948202008,0.66720517,Navajo Nation: Water & home dust
(Intercept)1891,5.979750401,0.640759103,0.17960363,3.554570562,2.612006454,0.651050081,Navajo Nation: Water & home dust
(Intercept)1901,3.988255461,0.911878001,0.245833172,3.393357452,2.598159099,0.647819063,Navajo Nation: Water & home dust
(Intercept)1911,6.633274099,0.518906128,0.124463646,3.385483637,2.936366071,0.644588045,Navajo Nation: Water & home dust
(Intercept)1921,6.261832079,0.670786023,0.171420897,4.039359343,2.955061071,0.676898223,Navajo Nation: Water & home dust
(Intercept)1931,9.539683317,0.106697668,0.003460732,3.509137178,2.965446158,0.693053312,Navajo Nation: Water & home dust
(Intercept)1941,4.923065651,0.899366634,0.220257305,4.243705334,2.973052182,0.673667205,Navajo Nation: Water & home dust
(Intercept)1951,4.690810582,0.878782385,0.267291813,3.872489174,2.850899766,0.676898223,Navajo Nation: Water & home dust
(Intercept)1961,3.912962475,1.063835849,0.242304935,4.34390844,2.885950767,0.675282714,Navajo Nation: Water & home dust
(Intercept)1971,4.670469451,0.956634279,0.254374621,4.377714163,2.825579137,0.649434572,Navajo Nation: Water & home dust
(Intercept)1981,3.219970179,1.158316903,0.256264864,4.288743153,2.935367924,0.670436187,Navajo Nation: Water & home dust
(Intercept)1991,3.584241562,1.11255501,0.279758134,4.344083058,2.986094986,0.676898223,Navajo Nation: Water & home dust
(Intercept)2001,5.726923208,0.652916081,0.1565913,3.383813254,2.430358587,0.641357027,Navajo Nation: Water & home dust
(Intercept)2011,6.012241362,0.633801404,0.179640498,3.540091171,2.813280422,0.649434572,Navajo Nation: Water & home dust
(Intercept)2021,8.111691104,0.364627569,0.06416246,3.82238991,2.965630401,0.678513732,Navajo Nation: Water & home dust
(Intercept)2031,6.552340356,0.514768899,0.154309045,3.276620102,2.697617122,0.657512116,Navajo Nation: Water & home dust
(Intercept)2041,5.701286894,0.77686858,0.170580737,4.194961124,2.954960854,0.672051696,Navajo Nation: Water & home dust
(Intercept)2051,5.572536659,0.772946118,0.172691107,4.039730953,2.760681767,0.670436187,Navajo Nation: Water & home dust
(Intercept)2061,6.178903677,0.636470106,0.197976461,3.72476948,2.89488395,0.668820679,Navajo Nation: Water & home dust
(Intercept)2071,5.002362831,0.911554702,0.195673971,4.405282277,2.863229233,0.675282714,Navajo Nation: Water & home dust
(Intercept)2081,6.691531663,0.590922072,0.129615478,3.92990972,2.78461525,0.663974152,Navajo Nation: Water & home dust
(Intercept)2091,6.738051664,0.604866073,0.134407313,4.070563523,2.788778753,0.657512116,Navajo Nation: Water & home dust
(Intercept)2101,5.805416076,0.799048952,0.143046349,4.448826572,3.200017437,0.66720517,Navajo Nation: Water & home dust
(Intercept)2111,6.07639195,0.687783535,0.206142423,3.968666792,3.028745822,0.663974152,Navajo Nation: Water & home dust
(Intercept)2121,7.86866592,0.428492902,0.058494189,4.010509728,2.86174231,0.672051696,Navajo Nation: Water & home dust
(Intercept)2131,8.879005626,0.26093879,0.026974553,3.889717487,2.750695149,0.668820679,Navajo Nation: Water & home dust
(Intercept)2141,7.602320673,0.377841674,0.075857033,3.402225856,2.822929054,0.655896607,Navajo Nation: Water & home dust
(Intercept)2151,4.592508379,0.87567665,0.208569661,3.753220636,2.238970291,0.659127625,Navajo Nation: Water & home dust
(Intercept)2161,3.5928766,1.097930502,0.273835226,4.253990304,3.101991159,0.683360258,Navajo Nation: Water & home dust
(Intercept)2171,6.159476831,0.671998585,0.182215343,3.94518991,2.940763508,0.66720517,Navajo Nation: Water & home dust
(Intercept)2181,6.931162136,0.484483168,0.125051034,3.450987582,2.891152936,0.655896607,Navajo Nation: Water & home dust
(Intercept)2191,4.257541579,0.931665977,0.260594949,3.796229138,2.719441063,0.665589661,Navajo Nation: Water & home dust
(Intercept)2201,6.224892179,0.738735545,0.158643281,4.461136177,3.412766608,0.66720517,Navajo Nation: Water & home dust
(Intercept)2211,2.436014476,1.266923618,0.302842711,4.237974612,2.723846899,0.644588045,Navajo Nation: Water & home dust
(Intercept)2221,5.672929298,0.696166314,0.175695624,3.621794987,2.768147074,0.662358643,Navajo Nation: Water & home dust
(Intercept)2231,4.386447435,0.898853823,0.285224258,3.703625208,2.851200844,0.693053312,Navajo Nation: Water & home dust
(Intercept)2241,5.361872294,0.813571133,0.208737125,4.103319793,2.859409163,0.665589661,Navajo Nation: Water & home dust
(Intercept)2251,1.964908796,1.307308908,0.300707176,4.039503795,2.756697314,0.680129241,Navajo Nation: Water & home dust
(Intercept)2261,4.082956737,0.992542843,0.299190372,4.032614622,2.779230864,0.651050081,Navajo Nation: Water & home dust
(Intercept)2271,3.522250761,1.142636593,0.247713099,4.485168379,3.073865664,0.644588045,Navajo Nation: Water & home dust
(Intercept)2281,7.817022963,0.401382391,0.064041371,3.775847895,2.680753126,0.657512116,Navajo Nation: Water & home dust
(Intercept)2291,5.497897997,0.833807714,0.217786611,4.37595953,3.048854142,0.68174475,Navajo Nation: Water & home dust
(Intercept)2301,1.364121301,1.371573058,0.290556925,3.872553658,2.873691221,0.663974152,Navajo Nation: Water & home dust
(Intercept)2311,6.765374371,0.500416818,0.0873781,3.39276543,2.59900708,0.644588045,Navajo Nation: Water & home dust
(Intercept)2321,6.905128414,0.494866325,0.143341106,3.495048951,2.607641852,0.66720517,Navajo Nation: Water & home dust
(Intercept)2331,3.196555147,1.114936054,0.274182166,3.972470703,2.411700837,0.65266559,Navajo Nation: Water & home dust
(Intercept)2341,4.865261664,0.925605075,0.242633126,4.363033009,3.352204272,0.675282714,Navajo Nation: Water & home dust
(Intercept)2351,5.517046789,0.82562488,0.157146622,4.339867272,3.108562649,0.66720517,Navajo Nation: Water & home dust
(Intercept)2361,5.745474043,0.712053115,0.19061287,3.801589071,2.620350986,0.657512116,Navajo Nation: Water & home dust
(Intercept)2371,7.640900646,0.454040325,0.116202057,3.955211161,3.272368679,0.665589661,Navajo Nation: Water & home dust
(Intercept)2381,5.643296629,0.773872874,0.159242137,4.116747307,2.771134684,0.659127625,Navajo Nation: Water & home dust
(Intercept)2391,3.825168457,1.02394397,0.239038773,3.9868105,2.940989082,0.65266559,Navajo Nation: Water & home dust
(Intercept)2401,3.489407197,1.068317732,0.313267773,3.950609658,2.739913678,0.655896607,Navajo Nation: Water & home dust
(Intercept)2411,3.617728919,1.028520901,0.284379052,3.810269117,3.054525747,0.672051696,Navajo Nation: Water & home dust
(Intercept)2421,7.539593374,0.39454948,0.093272913,3.452290378,2.929999687,0.683360258,Navajo Nation: Water & home dust
(Intercept)2431,3.358705698,1.13560756,0.241286769,4.274171399,2.654297356,0.663974152,Navajo Nation: Water & home dust
(Intercept)2441,5.632196298,0.767397833,0.199129071,4.061934975,2.652867147,0.676898223,Navajo Nation: Water & home dust
(Intercept)2451,6.844420286,0.556671627,0.130519472,3.851578881,2.880290339,0.659127625,Navajo Nation: Water & home dust
(Intercept)2461,4.709808872,0.859725875,0.220668138,3.762839906,2.66773174,0.659127625,Navajo Nation: Water & home dust
(Intercept)2471,7.410571104,0.448715934,0.074365437,3.688937479,2.891764063,0.657512116,Navajo Nation: Water & home dust
(Intercept)2481,4.962245048,0.913798877,0.165398064,4.380314572,2.999123086,0.660743134,Navajo Nation: Water & home dust
(Intercept)2491,5.712090315,0.767841211,0.170346179,4.144822172,2.755260748,0.673667205,Navajo Nation: Water & home dust
(Intercept)2501,6.137106416,0.642928276,0.166868906,3.726570326,2.617200924,0.654281099,Navajo Nation: Water & home dust
(Intercept)2511,5.98805601,0.679152523,0.168726899,3.82206422,2.793648941,0.678513732,Navajo Nation: Water & home dust
(Intercept)2521,5.036163368,0.853459046,0.215220105,4.046888007,2.739972169,0.672051696,Navajo Nation: Water & home dust
(Intercept)2531,1.325163494,1.429415445,0.336028089,4.224080876,3.066258271,0.68174475,Navajo Nation: Water & home dust
(Intercept)2541,6.952776523,0.499268287,0.120528793,3.572414032,2.708701728,0.66720517,Navajo Nation: Water & home dust
(Intercept)2551,6.273358066,0.590043046,0.17087537,3.505801959,2.789253198,0.670436187,Navajo Nation: Water & home dust
(Intercept)2561,6.375422672,0.581405307,0.170025911,3.549554519,2.730877124,0.663974152,Navajo Nation: Water & home dust
(Intercept)2571,4.645227265,0.845846473,0.224998164,3.604560601,2.569313187,0.641357027,Navajo Nation: Water & home dust
(Intercept)2581,6.782939449,0.522740045,0.159763306,3.561031169,2.893019839,0.654281099,Navajo Nation: Water & home dust
(Intercept)2591,6.750647538,0.490492354,0.105354691,3.311040076,2.50872665,0.639741519,Navajo Nation: Water & home dust
(Intercept)2601,8.1792651,0.378110603,0.066809742,3.980985785,3.159795817,0.684975767,Navajo Nation: Water & home dust
(Intercept)2611,3.993490145,1.008799604,0.237796557,4.052894911,3.040324191,0.670436187,Navajo Nation: Water & home dust
(Intercept)2621,7.340513143,0.404468737,0.096300397,3.320173521,2.695410498,0.660743134,Navajo Nation: Water & home dust
(Intercept)2631,6.908760005,0.502645167,0.136679513,3.551194304,2.616717107,0.660743134,Navajo Nation: Water & home dust
(Intercept)2641,5.769545387,0.669842801,0.170812405,3.540705106,2.675794384,0.66720517,Navajo Nation: Water & home dust
(Intercept)2651,3.570477163,1.11655297,0.274507963,4.357308268,2.699189101,0.686591276,Navajo Nation: Water & home dust
(Intercept)2661,4.154642736,0.922665226,0.303390788,3.632567615,2.593381796,0.672051696,Navajo Nation: Water & home dust
(Intercept)2671,6.921218617,0.510988546,0.130193004,3.619977784,2.671554221,0.660743134,Navajo Nation: Water & home dust
(Intercept)2681,2.910231286,1.213889946,0.243268761,4.354169294,2.904699026,0.660743134,Navajo Nation: Water & home dust
(Intercept)2691,7.486230568,0.421793139,0.098924769,3.582845312,2.802550283,0.662358643,Navajo Nation: Water & home dust
(Intercept)2701,4.454034663,0.927582498,0.233831592,3.965155285,2.789572653,0.675282714,Navajo Nation: Water & home dust
(Intercept)2711,7.161079146,0.522406159,0.107890389,3.936916851,3.365283107,0.672051696,Navajo Nation: Water & home dust
(Intercept)2721,4.207374043,0.960773921,0.276753553,3.942564842,2.823714107,0.662358643,Navajo Nation: Water & home dust
(Intercept)2731,7.502147982,0.382733398,0.067890421,3.335076439,2.511572721,0.65266559,Navajo Nation: Water & home dust
(Intercept)2741,7.85394044,0.399869099,0.071585719,3.802549373,2.840174947,0.659127625,Navajo Nation: Water & home dust
(Intercept)2751,4.238220057,0.974363865,0.21866184,4.065154468,2.641722754,0.646203554,Navajo Nation: Water & home dust
(Intercept)2761,3.730375572,0.999398838,0.222816166,3.726317218,2.774110537,0.670436187,Navajo Nation: Water & home dust
(Intercept)2771,2.636005122,1.223300649,0.261390518,4.14347333,2.72217717,0.659127625,Navajo Nation: Water & home dust
(Intercept)2781,0.977080893,1.509128942,0.295842165,4.414131783,2.981099008,0.651050081,Navajo Nation: Water & home dust
(Intercept)2791,4.629323989,0.880343082,0.243175178,3.821538609,2.678903826,0.663974152,Navajo Nation: Water & home dust
(Intercept)2801,6.91874788,0.543635926,0.11836687,3.837904464,2.909656395,0.657512116,Navajo Nation: Water & home dust
(Intercept)2811,5.685755511,0.76480607,0.185166594,4.097997594,2.893065654,0.657512116,Navajo Nation: Water & home dust
(Intercept)2821,2.33357384,1.37778102,0.259164949,4.883915187,3.229646777,0.683360258,Navajo Nation: Water & home dust
(Intercept)2831,5.948552837,0.661159485,0.209768944,3.661092831,2.846141976,0.668820679,Navajo Nation: Water & home dust
(Intercept)2841,5.394417372,0.73743445,0.209146816,3.62187788,2.519304477,0.646203554,Navajo Nation: Water & home dust
(Intercept)2851,8.317966543,0.350371653,0.041599904,3.932425855,2.876848461,0.646203554,Navajo Nation: Water & home dust
(Intercept)2861,5.859813666,0.731702285,0.188855999,4.04857721,2.900480178,0.670436187,Navajo Nation: Water & home dust
(Intercept)2871,5.414976535,0.725676938,0.168873357,3.563063891,3.073057938,0.647819063,Navajo Nation: Water & home dust
(Intercept)2881,6.203358802,0.595993554,0.154203093,3.47597365,2.660539974,0.665589661,Navajo Nation: Water & home dust
(Intercept)2891,7.605862156,0.434406761,0.06482316,3.787629512,2.597413771,0.663974152,Navajo Nation: Water & home dust
(Intercept)2901,7.961837535,0.302031707,0.067587488,3.249961339,2.629748149,0.657512116,Navajo Nation: Water & home dust
(Intercept)2911,2.397290456,1.260184524,0.24872569,4.153756013,2.65126011,0.66720517,Navajo Nation: Water & home dust
(Intercept)2921,4.119086502,1.017848553,0.217011254,4.239579327,2.962809364,0.686591276,Navajo Nation: Water & home dust
(Intercept)2931,4.648933929,0.883670272,0.207241175,3.863609897,2.741682995,0.655896607,Navajo Nation: Water & home dust
(Intercept)2941,2.821918471,1.135175086,0.296120404,3.734464608,2.54018877,0.647819063,Navajo Nation: Water & home dust
