"","intcpt","slp","rsq","scen"
"(Intercept)8100",95.9111050290931,0.791117644113179,0.232498483756177,"HEALS primary + secondary water"
"(Intercept)9100",99.4637520273617,0.776294953374437,0.235749686304521,"HEALS primary + secondary water"
"(Intercept)1010",98.0382052599232,0.782555084059897,0.24156430982056,"HEALS primary + secondary water"
"(Intercept)1110",92.1259273975782,0.79598008731008,0.243659106921886,"HEALS primary + secondary water"
"(Intercept)1210",93.0971278555428,0.796924149074998,0.245771892752019,"HEALS primary + secondary water"
"(Intercept)1310",92.4736704954861,0.790276839174308,0.244976808923506,"HEALS primary + secondary water"
"(Intercept)1410",95.8920670426735,0.780693538513271,0.244910440527295,"HEALS primary + secondary water"
"(Intercept)1510",95.7389686172881,0.783650696069761,0.24011347025011,"HEALS primary + secondary water"
"(Intercept)1610",96.6463961898689,0.776637952123361,0.23658469961818,"HEALS primary + secondary water"
"(Intercept)1710",97.7627381425916,0.77791019892055,0.242596091387878,"HEALS primary + secondary water"
"(Intercept)1810",96.1406703158263,0.791565471540356,0.233605035774152,"HEALS primary + secondary water"
"(Intercept)1910",96.2404791480478,0.789589242439977,0.236210836645147,"HEALS primary + secondary water"
"(Intercept)2010",94.0844546248643,0.791472509920556,0.234647688363093,"HEALS primary + secondary water"
"(Intercept)2110",91.9812901476753,0.796270159252124,0.249205581659926,"HEALS primary + secondary water"
"(Intercept)2210",93.7476225064653,0.790679498192023,0.238401826826998,"HEALS primary + secondary water"
"(Intercept)2310",95.7828667886707,0.781933713718378,0.241105286146341,"HEALS primary + secondary water"
"(Intercept)2410",95.7605606949211,0.792407738897077,0.236974607290771,"HEALS primary + secondary water"
"(Intercept)2510",96.5120347854841,0.784650049576354,0.240403811683551,"HEALS primary + secondary water"
"(Intercept)2610",92.9837793648743,0.79870468145785,0.239244859292014,"HEALS primary + secondary water"
"(Intercept)2710",94.98826165843,0.797640712988182,0.234057669511998,"HEALS primary + secondary water"
"(Intercept)2810",96.1093061785788,0.785579275541671,0.237986522868656,"HEALS primary + secondary water"
"(Intercept)2910",92.5828732574422,0.792951665094776,0.237152267779363,"HEALS primary + secondary water"
"(Intercept)3010",97.9386722012738,0.774542243946015,0.236759768876732,"HEALS primary + secondary water"
"(Intercept)3110",96.2700791458833,0.781249123625191,0.239762971943246,"HEALS primary + secondary water"
"(Intercept)3210",97.9847289811903,0.781314218937911,0.242622607455905,"HEALS primary + secondary water"
"(Intercept)3310",94.1949622322358,0.791103978350993,0.241601418217037,"HEALS primary + secondary water"
"(Intercept)3410",97.8942053153447,0.777787994109419,0.235214594267741,"HEALS primary + secondary water"
"(Intercept)3510",91.9126918166389,0.796626955733679,0.244178493884263,"HEALS primary + secondary water"
"(Intercept)3610",97.609355800375,0.777236867807921,0.234062764127373,"HEALS primary + secondary water"
"(Intercept)3710",93.2487080689097,0.79479248948189,0.239190881812884,"HEALS primary + secondary water"
"(Intercept)3810",97.5324313133011,0.785961636870331,0.237010306895746,"HEALS primary + secondary water"
"(Intercept)3910",94.8394497283183,0.796936900514414,0.241750555500975,"HEALS primary + secondary water"
"(Intercept)4010",92.6681262867909,0.798464466057903,0.240733069737453,"HEALS primary + secondary water"
"(Intercept)4110",96.0329756740985,0.78313668381414,0.239436352705245,"HEALS primary + secondary water"
"(Intercept)4210",101.304711661379,0.769534638933357,0.238750229222114,"HEALS primary + secondary water"
"(Intercept)4310",96.8568809963094,0.787669800180252,0.235912386419658,"HEALS primary + secondary water"
"(Intercept)4410",93.9073626403022,0.792553952666192,0.240709928430011,"HEALS primary + secondary water"
"(Intercept)4510",93.1986690292251,0.795352897713667,0.247234017991251,"HEALS primary + secondary water"
"(Intercept)4610",97.09630234274,0.777068317047159,0.240348546434453,"HEALS primary + secondary water"
"(Intercept)4710",93.0228205037286,0.801972060909417,0.244783161513625,"HEALS primary + secondary water"
