,Intercept,Slope,vector_MCresSE,vector_rsquare,scen
397,10.51195263,0.729763837,24.62616566,0.058678805,UNM water only
398,9.482134374,0.819779829,24.44960903,0.086605734,UNM water only
399,8.927516412,0.933022402,25.93776637,0.085744754,UNM water only
400,9.19076471,0.884530064,24.21220138,0.096727756,UNM water only
401,7.771299063,1.07842241,26.53773129,0.120812732,UNM water only
402,8.270273189,1.009296205,28.11972833,0.099512674,UNM water only
403,9.004301438,0.880632071,22.8231199,0.097274168,UNM water only
404,9.950864424,0.715889154,22.42627559,0.070276372,UNM water only
405,8.214114068,1.054652902,26.13958549,0.116016951,UNM water only
406,9.300520211,0.853131645,23.63292996,0.083107713,UNM water only
407,8.122252079,1.045815642,25.62896324,0.111233659,UNM water only
408,11.41683688,0.535889286,21.45229932,0.051567554,UNM water only
409,7.236666522,1.181144001,29.02111761,0.111784048,UNM water only
410,9.066629172,0.877060583,22.94806583,0.095899894,UNM water only
411,10.25539196,0.719196683,23.16805404,0.068279809,UNM water only
412,9.180014778,0.867596164,25.43381729,0.089468931,UNM water only
413,8.607158233,0.994528446,25.57415177,0.108957456,UNM water only
414,9.578739352,0.837703042,25.7807789,0.084674647,UNM water only
415,6.646126522,1.216515152,28.06970718,0.129437393,UNM water only
416,7.158502943,1.20205422,28.50531721,0.129559746,UNM water only
417,6.252477294,1.332314847,28.32451363,0.14430593,UNM water only
418,10.34363431,0.691917637,23.49501998,0.067394183,UNM water only
419,9.345255873,0.863422951,23.81086036,0.091725027,UNM water only
420,5.193365093,1.461337315,30.43919498,0.163406886,UNM water only
421,7.883281582,1.104804385,27.62067232,0.108951249,UNM water only
422,9.524685513,0.812143332,24.08225678,0.085937768,UNM water only
423,9.984141001,0.731221498,23.6495222,0.077523076,UNM water only
424,8.593445351,0.92573546,23.6922456,0.102946066,UNM water only
425,11.28576475,0.508266972,20.22393483,0.04723207,UNM water only
426,8.842977569,0.906740648,23.46667179,0.108690715,UNM water only
427,7.442616154,1.101089341,26.94908449,0.11386407,UNM water only
428,9.31155532,0.824279673,22.88611508,0.092045733,UNM water only
429,6.569145236,1.255660796,28.31111768,0.138860069,UNM water only
430,9.032280952,0.881179314,24.37955929,0.093644056,UNM water only
431,7.920054638,1.100807979,27.1134609,0.111720769,UNM water only
432,5.589233768,1.439413839,28.04113443,0.167261834,UNM water only
433,10.2151289,0.741293463,22.549814,0.073906146,UNM water only
